Smurfit Westrock Quarterly Net Income (Millions of US $),Smurfit Westrock Quarterly Net Income (Millions of US $).1
2024-06-30,$-0
2024-03-31,$16
2023-12-31,$-22
2023-09-30,
2023-06-30,$202
2023-03-31,"$-2,006"
2022-12-31,$45
2022-09-30,
2022-06-30,$378
2022-03-31,$40
2021-12-31,$182
2021-09-30,
2021-06-30,$250
2021-03-31,$113
2020-12-31,$152
2020-09-30,
2020-06-30,$179
2020-03-31,$148
2019-12-31,$139
2019-09-30,
2019-06-30,$253
2019-03-31,$160
2018-12-31,$139
2018-09-30,
2018-06-30,$268
2018-03-31,$223
2017-12-31,"$1,135"
2017-09-30,
2017-06-30,$328
2017-03-31,$103
2016-12-31,$81
2016-09-30,
2016-06-30,$92
2016-03-31,$57
2015-12-31,$-454
2015-09-30,
2015-06-30,$156
2015-03-31,$110
2014-12-31,$125
2014-09-30,$106
2014-06-30,$133
2014-03-31,$31
2013-12-31,$677
2013-09-30,$80
2013-06-30,$71
2013-03-31,$11
2012-12-31,$17
2012-09-30,$51
2012-06-30,$88
2012-03-31,$49
2011-12-31,$-25
2011-09-30,$117
2011-06-30,$89
2011-03-31,$65
2010-12-31,$47
2010-09-30,$-15
2010-06-30,$50
2010-03-31,$24
2009-12-31,$51
2009-09-30,$128
2009-06-30,$125
2009-03-31,$-79
