Soho House & Co Price to Free Cash Flow Ratio Historical Data,Soho House & Co Price to Free Cash Flow Ratio Historical Data,Soho House & Co Price to Free Cash Flow Ratio Historical Data,Soho House & Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.4,,200.0
2024-06-30,5.31,$0.03,196.67
2024-03-31,5.67,$-0.03,0.0
2023-12-31,7.12,$-0.08,0.0
2023-09-30,6.93,$-0.26,0.0
2023-06-30,5.42,$-0.31,0.0
2023-03-31,6.54,$-0.28,0.0
2022-12-31,3.74,$-0.29,0.0
2022-09-30,4.72,$-0.46,0.0
2022-06-30,6.48,$-1.35,0.0
