SoundHound AI Price to Free Cash Flow Ratio Historical Data,SoundHound AI Price to Free Cash Flow Ratio Historical Data,SoundHound AI Price to Free Cash Flow Ratio Historical Data,SoundHound AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.23,,0.0
2024-06-30,3.95,$-0.27,0.0
2024-03-31,5.89,$-0.31,0.0
2023-12-31,2.12,$-0.30,0.0
2023-09-30,2.01,$-0.45,0.0
2023-06-30,4.55,$-0.47,0.0
2023-03-31,2.76,$-0.45,0.0
2022-12-31,1.77,$-0.61,0.0
2022-09-30,3.28,$-0.62,0.0
2022-06-30,2.68,$-0.80,0.0
2022-03-31,9.95,$-1.22,0.0
