Manhattan Associates Price to Free Cash Flow Ratio Historical Data,Manhattan Associates Price to Free Cash Flow Ratio Historical Data,Manhattan Associates Price to Free Cash Flow Ratio Historical Data,Manhattan Associates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,304.54,,71.14
2024-06-30,246.68,$4.28,57.62
2024-03-31,250.23,$3.77,66.35
2023-12-31,215.32,$3.86,55.82
2023-09-30,197.66,$3.31,59.64
2023-06-30,199.88,$3.00,66.72
2023-03-31,154.85,$3.17,48.78
2022-12-31,121.4,$2.73,44.49
2022-09-30,133.03,$2.50,53.31
2022-06-30,114.6,$2.80,40.88
2022-03-31,138.71,$2.69,51.64
2021-12-31,155.49,$2.82,55.21
2021-09-30,153.03,$2.81,54.54
2021-06-30,144.84,$2.54,56.95
2021-03-31,117.38,$2.60,45.21
2020-12-31,105.18,$2.15,48.98
2020-09-30,95.49,$2.04,46.9
2020-06-30,94.2,$1.88,50.21
2020-03-31,49.82,$1.65,30.12
2019-12-31,79.75,$2.02,39.42
2019-09-30,80.67,$2.03,39.79
2019-06-30,69.33,$2.06,33.71
2019-03-31,55.11,$1.76,31.27
2018-12-31,42.37,$1.96,21.64
2018-09-30,54.6,$2.13,25.67
2018-06-30,47.01,$2.23,21.08
2018-03-31,41.88,$2.14,19.59
2017-12-31,49.54,$2.27,21.79
2017-09-30,41.57,$2.13,19.51
2017-06-30,48.06,$2.08,23.12
2017-03-31,52.05,$2.17,23.96
2016-12-31,53.03,$1.84,28.84
2016-09-30,57.62,$1.80,32.06
2016-06-30,64.13,$1.74,36.93
2016-03-31,56.87,$1.83,31.02
2015-12-31,66.17,$1.47,45.09
2015-09-30,62.36,$1.89,32.96
2015-06-30,59.65,$1.62,36.92
2015-03-31,50.61,$1.55,32.63
2014-12-31,40.72,$1.79,22.71
2014-03-31,35.03,$1.07,32.66
2013-12-31,29.37,$1.09,27.04
2013-09-30,23.86,$1.02,23.34
2013-06-30,19.29,$0.66,29.34
2013-03-31,18.57,$0.70,26.46
2012-12-31,15.09,$0.69,21.71
2014-09-30,33.42,$0.62,53.62
2012-09-30,14.32,$0.73,19.53
2012-06-30,11.43,$0.71,16.02
2012-03-31,11.88,$0.65,18.28
2011-12-31,10.12,$0.59,17.14
2011-09-30,8.27,$0.58,14.23
2011-06-30,8.61,$0.51,16.78
2011-03-31,8.19,$0.43,19.17
2010-12-31,7.64,$0.49,15.55
2010-09-30,7.34,$-0.04,0.0
2010-06-30,6.89,$0.04,162.83
2010-03-31,6.37,$0.12,52.0
2014-06-30,34.43,$0.10,340.22
2009-12-31,6.01,$0.62,9.69
