Marqeta Price to Free Cash Flow Ratio Historical Data,Marqeta Price to Free Cash Flow Ratio Historical Data,Marqeta Price to Free Cash Flow Ratio Historical Data,Marqeta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.15,,42.01
2024-06-30,5.48,$0.12,44.7
2024-03-31,5.96,$0.03,196.05
2023-12-31,6.98,$0.02,438.99
2023-09-30,5.98,$0.02,390.85
2023-06-30,4.87,$-0.06,0.0
2023-03-31,4.57,$0.03,138.07
2022-12-31,6.11,$-0.03,0.0
2022-09-30,7.12,$0.10,73.18
2022-06-30,8.11,$0.08,96.66
2022-03-31,11.04,$0.06,177.49
