Progress Software Price to Free Cash Flow Ratio Historical Data,Progress Software Price to Free Cash Flow Ratio Historical Data,Progress Software Price to Free Cash Flow Ratio Historical Data,Progress Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.33,,13.14
2024-08-31,58.15,$5.05,11.52
2024-05-31,50.32,$4.71,10.69
2024-02-29,53.02,$4.29,12.36
2023-11-30,53.34,$3.77,14.15
2023-08-31,60.05,$3.87,15.52
2023-05-31,59.06,$3.80,15.55
2023-02-28,56.37,$4.87,11.57
2022-11-30,52.17,$4.79,10.88
2022-08-31,46.94,$4.92,9.55
2022-05-31,46.94,$4.79,9.8
2022-02-28,42.68,$3.89,10.97
2021-11-30,46.72,$3.90,11.99
2021-08-31,44.74,$3.86,11.59
2021-05-31,42.67,$3.73,11.44
2021-02-28,40.56,$3.35,12.12
2020-11-30,38.08,$3.07,12.4
2020-08-31,35.82,$2.93,12.22
2020-05-31,38.03,$2.86,13.3
2020-02-29,34.96,$1.11,31.55
2019-11-30,39.21,$0.88,44.39
2019-08-31,35.13,$0.59,59.22
2019-05-31,37.93,$0.91,41.52
2018-11-30,32.3,$2.47,13.06
2018-08-31,37.43,$3.60,10.39
2018-05-31,34.53,$3.67,9.4
2018-02-28,42.56,$3.08,13.8
2017-11-30,37.43,$2.91,12.86
2019-02-28,33.93,$2.06,16.46
2017-08-31,30.3,$2.16,14.01
2017-05-31,26.25,$2.26,11.63
2017-02-28,25.67,$2.31,11.12
2016-11-30,26.36,$1.96,13.44
2016-08-31,25.75,$1.84,14.0
2016-05-31,23.37,$1.80,12.95
2016-02-29,22.38,$1.63,13.75
2015-11-30,21.29,$1.90,11.21
2015-08-31,24.04,$2.10,11.43
2015-05-31,23.37,$2.22,10.55
2015-02-28,24.27,$2.18,11.12
2014-11-30,22.89,$1.86,12.29
2014-08-31,20.56,$1.43,14.33
2014-05-31,19.28,$0.91,21.26
2014-02-28,22.14,$0.80,27.83
2013-11-30,23.38,$-0.01,0.0
2013-08-31,21.71,$0.14,160.82
2013-05-31,20.87,$0.51,40.89
2013-02-28,19.99,$-0.64,0.0
2012-11-30,17.85,$-0.04,0.0
2012-08-31,17.07,$-0.09,0.0
2012-05-31,17.06,$0.08,210.35
2011-11-30,18.08,$1.71,10.59
2011-08-31,18.48,$2.28,8.12
2011-05-31,24.03,$2.44,9.85
2011-02-28,26.06,$2.20,11.87
2010-11-30,22.79,$1.70,13.43
2012-02-29,20.61,$1.50,13.74
2010-08-31,15.8,$1.37,11.51
2010-05-31,18.9,$1.37,13.84
2010-02-28,16.58,$1.39,11.9
2009-11-30,14.25,$0.90,15.84
