Dole Price to Free Cash Flow Ratio Historical Data,Dole Price to Free Cash Flow Ratio Historical Data,Dole Price to Free Cash Flow Ratio Historical Data,Dole Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.41,,7.23
2024-06-30,12.24,$2.27,5.39
2024-03-31,11.93,$2.63,4.53
2023-12-31,12.29,$3.20,3.84
2023-09-30,11.58,$3.08,3.77
2023-06-30,13.52,$2.37,5.7
2023-03-31,11.74,$4.46,2.63
2022-12-31,9.65,$2.89,3.33
2022-09-30,7.3,$1.75,4.16
2022-06-30,8.38,$0.83,10.05
