Udemy Price to Free Cash Flow Ratio Historical Data,Udemy Price to Free Cash Flow Ratio Historical Data,Udemy Price to Free Cash Flow Ratio Historical Data,Udemy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.0,,30.29
2024-06-30,8.63,$0.26,32.68
2024-03-31,10.98,$0.17,64.25
2023-12-31,14.73,$-0.10,0.0
2023-09-30,9.5,$-0.27,0.0
2023-06-30,10.73,$-0.46,0.0
2023-03-31,8.83,$-0.58,0.0
2022-12-31,10.55,$-0.54,0.0
2022-09-30,12.09,$-0.76,0.0
