Jackson Financial Price to Free Cash Flow Ratio Historical Data,Jackson Financial Price to Free Cash Flow Ratio Historical Data,Jackson Financial Price to Free Cash Flow Ratio Historical Data,Jackson Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.44,,1.41
2024-06-30,74.26,$71.16,1.04
2024-03-31,66.14,$63.94,1.03
2023-12-31,51.2,$63.53,0.81
2023-09-30,38.22,$69.62,0.55
2023-06-30,30.61,$65.74,0.47
2023-03-31,37.41,$67.12,0.56
2022-12-31,34.79,$58.70,0.59
2022-09-30,27.75,$56.19,0.49
2022-06-30,26.29,$83.16,0.32
