Playtika Holding Price to Free Cash Flow Ratio Historical Data,Playtika Holding Price to Free Cash Flow Ratio Historical Data,Playtika Holding Price to Free Cash Flow Ratio Historical Data,Playtika Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.58,,7.29
2024-06-30,7.87,$1.04,7.57
2024-03-31,7.05,$1.21,5.84
2023-12-31,8.72,$1.21,7.18
2023-09-30,9.63,$1.18,8.17
2023-06-30,11.6,$1.07,10.8
2023-03-31,11.26,$0.93,12.13
2022-12-31,8.51,$0.98,8.65
2022-09-30,9.39,$0.97,9.66
2022-06-30,13.24,$1.25,10.61
2022-03-31,19.33,$1.41,13.69
2021-12-31,17.29,$1.15,15.08
