Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data,Bio-Rad Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,337.32,,54.51
2024-06-30,273.11,$6.19,44.13
2024-03-31,345.87,$6.42,53.87
2023-12-31,322.89,$7.48,43.17
2023-09-30,358.45,$7.65,46.85
2023-06-30,379.12,$5.24,72.35
2023-03-31,479.02,$4.26,112.37
2022-12-31,420.49,$2.75,153.06
2022-09-30,417.14,$5.05,82.68
2022-06-30,495.0,$12.06,41.06
2022-03-31,563.23,$15.20,37.05
2021-12-31,755.57,$17.74,42.6
2021-09-30,745.95,$22.06,33.81
2021-06-30,644.29,$19.44,33.15
2021-03-31,571.17,$17.55,32.55
2020-12-31,582.94,$15.80,36.9
2020-09-30,515.46,$12.16,42.39
2020-06-30,451.49,$10.68,42.26
2020-03-31,350.56,$12.63,27.75
2019-12-31,370.03,$11.91,31.07
2019-09-30,332.74,$9.12,36.5
2019-06-30,312.59,$8.09,38.64
2019-03-31,305.68,$5.50,55.58
2018-12-31,232.22,$5.29,43.88
2018-09-30,312.99,$5.03,62.19
2018-06-30,288.54,$3.98,72.48
2018-03-31,250.08,$3.39,73.69
2017-12-31,238.67,$-0.24,0.0
2017-09-30,222.22,$-0.00,0.0
2017-06-30,226.31,$0.14,1591.49
2017-03-31,199.34,$0.45,445.95
2016-12-31,182.28,$2.53,72.02
2016-09-30,163.81,$1.13,145.03
2016-06-30,143.02,$2.66,53.7
2016-03-31,136.72,$1.34,102.37
2015-12-31,138.66,$2.53,54.89
2015-09-30,134.31,$2.25,59.68
2015-06-30,150.61,$2.46,61.1
2015-03-31,135.18,$3.83,35.26
2014-12-31,120.56,$5.24,23.03
2014-09-30,113.4,$6.71,16.9
2014-06-30,119.71,$5.75,20.82
2014-03-31,128.12,$-0.85,0.0
2013-12-31,123.61,$-0.17,0.0
2013-09-30,117.56,$-0.43,0.0
2013-06-30,112.2,$-0.50,0.0
2012-12-31,105.05,$4.54,23.16
2012-09-30,106.72,$8.35,12.78
2012-06-30,100.01,$6.79,14.73
2012-03-31,103.69,$6.58,15.76
2011-12-31,96.04,$9.57,10.04
2013-03-31,126.0,$3.66,34.39
2011-09-30,90.77,$6.46,14.06
2011-06-30,119.36,$7.18,16.63
2011-03-31,120.14,$4.78,25.15
2010-12-31,103.85,$4.93,21.09
2010-09-30,90.51,$6.01,15.06
2010-06-30,86.49,$7.27,11.89
2010-03-31,103.52,$9.95,10.41
2009-12-31,96.46,$9.28,10.39
