Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data,Jack Henry & Associates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,173.03,,25.67
2024-03-31,173.17,$6.74,25.69
2023-12-31,162.36,$5.63,28.83
2023-09-30,149.68,$5.35,27.98
2023-06-30,165.15,$5.07,32.6
2023-03-31,148.23,$5.12,28.97
2022-12-31,172.12,$6.39,26.93
2022-09-30,178.24,$6.87,25.96
2022-06-30,175.6,$6.40,27.45
2022-03-31,191.71,$6.29,30.47
2021-12-31,162.03,$5.84,27.73
2021-09-30,158.71,$5.67,28.0
2021-06-30,157.76,$5.89,26.8
2021-03-31,145.95,$6.33,23.06
2020-12-31,155.36,$6.02,25.8
2020-09-30,155.52,$6.08,25.56
2020-06-30,175.55,$6.00,29.27
2020-03-31,147.73,$6.47,22.85
2019-12-31,138.23,$3.72,37.11
2019-09-30,138.15,$3.51,39.39
2019-06-30,126.4,$2.76,45.85
2019-03-31,130.57,$-0.32,0.0
2018-06-30,121.71,$3.55,34.25
2018-03-31,112.58,$4.64,24.25
2017-12-31,108.52,$4.28,25.33
2017-09-30,95.11,$4.44,21.42
2017-06-30,95.82,$4.04,23.7
2017-03-31,85.63,$4.96,17.25
2016-12-31,81.38,$4.92,16.53
2016-09-30,78.18,$4.14,18.88
2016-06-30,79.5,$3.92,20.25
2016-03-31,76.78,$2.93,26.25
2015-12-31,70.63,$2.99,23.62
2015-09-30,62.78,$2.04,30.71
2015-06-30,58.14,$2.32,25.02
2015-03-31,62.56,$1.21,51.54
2014-12-31,55.41,$2.74,20.25
2018-12-31,118.71,$4.06,29.22
2014-09-30,49.45,$2.71,18.28
2014-06-30,52.6,$2.98,17.68
2014-03-31,49.16,$2.56,19.23
2013-12-31,52.01,$2.53,20.54
2013-09-30,45.22,$2.40,18.81
2013-06-30,41.09,$2.45,16.78
2013-03-31,40.12,$2.37,16.92
2012-12-31,33.99,$2.30,14.76
2012-09-30,32.67,$2.43,13.46
2012-06-30,29.7,$2.15,13.79
2012-03-31,29.26,$2.05,14.3
2011-12-31,28.72,$1.24,23.13
2011-09-30,24.69,$2.78,8.88
2011-06-30,25.47,$2.08,12.27
2011-03-31,28.67,$1.50,19.15
2018-09-30,149.8,$3.47,43.2
2010-12-31,24.58,$1.87,13.12
2010-09-30,21.43,$1.75,12.23
2010-06-30,19.99,$1.64,12.22
2010-03-31,20.06,$1.58,12.72
2009-12-31,19.21,$2.21,8.7
