Organon Price to Free Cash Flow Ratio Historical Data,Organon Price to Free Cash Flow Ratio Historical Data,Organon Price to Free Cash Flow Ratio Historical Data,Organon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.64,,5.31
2024-06-30,20.7,$3.32,6.23
2024-03-31,18.8,$1.99,9.43
2023-12-31,14.42,$2.14,6.73
2023-09-30,17.36,$1.72,10.12
2023-06-30,20.81,$1.95,10.69
2023-03-31,23.52,$2.53,9.28
2022-12-31,27.93,$2.62,10.65
2022-09-30,23.4,$1.78,13.15
2022-06-30,33.45,$2.04,16.39
2022-03-31,34.34,$8.12,4.23
