Coupang Price to Free Cash Flow Ratio Historical Data,Coupang Price to Free Cash Flow Ratio Historical Data,Coupang Price to Free Cash Flow Ratio Historical Data,Coupang Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.31,,30.08
2024-06-30,20.95,$0.84,24.9
2024-03-31,17.79,$0.82,21.79
2023-12-31,16.19,$0.98,16.44
2023-09-30,17.0,$1.03,16.57
2023-06-30,17.4,$0.61,28.46
2023-03-31,16.0,$0.25,63.39
2022-12-31,14.71,$-0.14,0.0
2022-09-30,16.67,$-0.75,0.0
2022-06-30,12.75,$-0.77,0.0
2022-03-31,17.68,$-0.17,0.0
2021-12-31,29.38,$-0.76,0.0
