Dutch Bros Price to Free Cash Flow Ratio Historical Data,Dutch Bros Price to Free Cash Flow Ratio Historical Data,Dutch Bros Price to Free Cash Flow Ratio Historical Data,Dutch Bros Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.7,,0.0
2024-06-30,41.4,$-0.55,0.0
2024-03-31,33.0,$-0.90,0.0
2023-12-31,31.67,$-1.41,0.0
2023-09-30,23.25,$-1.98,0.0
2023-06-30,28.45,$-2.13,0.0
2023-03-31,31.63,$-2.30,0.0
2022-12-31,28.19,$-2.44,0.0
2022-09-30,31.15,$-2.45,0.0
2022-06-30,31.65,$-2.06,0.0
