Enel Chile S.A Price to Free Cash Flow Ratio Historical Data,Enel Chile S.A Price to Free Cash Flow Ratio Historical Data,Enel Chile S.A Price to Free Cash Flow Ratio Historical Data,Enel Chile S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.81,,31.5
2024-06-30,2.8,$0.09,31.39
2024-03-31,2.84,$0.09,31.82
2023-12-31,2.98,$0.09,33.43
2023-09-30,2.72,$-0.13,0.0
2023-06-30,3.06,$-0.13,0.0
2023-03-31,2.23,$-0.13,0.0
2022-12-31,1.84,$-0.13,0.0
2022-09-30,1.13,$-0.30,0.0
2022-06-30,0.91,$-0.30,0.0
2022-03-31,1.28,$-0.30,0.0
2021-12-31,1.46,$-0.30,0.0
2021-09-30,1.94,0,0.0
2021-06-30,2.38,$-0.16,0.0
2021-03-31,2.93,0,0.0
2020-09-30,2.57,$0.26,10.07
2020-06-30,2.82,$0.34,8.37
2018-03-31,4.18,$0.50,8.43
2017-09-30,3.88,$0.91,4.27
