Kyndryl Holdings Price to Free Cash Flow Ratio Historical Data,Kyndryl Holdings Price to Free Cash Flow Ratio Historical Data,Kyndryl Holdings Price to Free Cash Flow Ratio Historical Data,Kyndryl Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.02,,84.81
2024-06-30,26.31,$0.30,89.19
2024-03-31,21.76,$-0.26,0.0
2023-12-31,20.78,$-0.64,0.0
2023-09-30,15.1,$-1.66,0.0
2023-06-30,13.28,$-0.99,0.0
2023-03-31,14.76,$-0.27,0.0
2022-12-31,11.12,$1.60,6.96
2022-09-30,8.27,$0.23,35.27
