Microsoft Quarterly Revenue (Millions of US $),Microsoft Quarterly Revenue (Millions of US $).1
2024-03-31,"$61,858"
2023-12-31,"$62,020"
2023-09-30,"$56,517"
2023-06-30,"$56,189"
2023-03-31,"$52,857"
2022-12-31,"$52,747"
2022-09-30,"$50,122"
2022-06-30,"$51,865"
2022-03-31,"$49,360"
2021-12-31,"$51,728"
2021-09-30,"$45,317"
2021-06-30,"$46,152"
2021-03-31,"$41,706"
2020-12-31,"$43,076"
2020-09-30,"$37,154"
2020-06-30,"$38,033"
2020-03-31,"$35,021"
2019-12-31,"$36,906"
2019-09-30,"$33,055"
2019-06-30,"$33,717"
2019-03-31,"$30,571"
2018-12-31,"$32,471"
2018-09-30,"$29,084"
2018-06-30,"$30,085"
2018-03-31,"$26,819"
2017-12-31,"$28,918"
2017-09-30,"$24,538"
2017-06-30,"$25,605"
2017-03-31,"$23,212"
2016-12-31,"$25,826"
2016-09-30,"$21,928"
2016-06-30,"$26,448"
2016-03-31,"$20,531"
2015-12-31,"$23,796"
2015-09-30,"$20,379"
2015-06-30,"$22,180"
2015-03-31,"$21,729"
2014-12-31,"$26,470"
2014-09-30,"$23,201"
2014-06-30,"$23,382"
2014-03-31,"$20,403"
2013-12-31,"$24,519"
2013-09-30,"$18,529"
2013-06-30,"$19,896"
2013-03-31,"$20,489"
2012-12-31,"$21,456"
2012-09-30,"$16,008"
2012-06-30,"$18,059"
2012-03-31,"$17,407"
2011-12-31,"$20,885"
2011-09-30,"$17,372"
2011-06-30,"$17,367"
2011-03-31,"$16,428"
2010-12-31,"$19,953"
2010-09-30,"$16,195"
2010-06-30,"$16,039"
2010-03-31,"$14,503"
2009-12-31,"$19,022"
2009-09-30,"$12,920"
2009-06-30,"$13,099"
2009-03-31,"$13,648"
