,open,high,low,close,adjclose,volume,ticker
2002-10-25,13.0,13.149999618530273,12.850000381469727,13.010000228881836,7.088313102722168,13965800,WYNN
2002-10-28,13.010000228881836,13.050000190734863,12.960000038146973,13.010000228881836,7.088313102722168,5505900,WYNN
2002-10-29,13.0,13.010000228881836,12.039999961853027,12.640000343322754,6.886724948883057,2235800,WYNN
2002-10-30,12.609999656677246,12.619999885559082,12.130000114440918,12.5,6.810446739196777,905800,WYNN
2002-10-31,12.5600004196167,13.020000457763672,12.5,12.609999656677246,6.870378017425537,298900,WYNN
2002-11-01,12.59000015258789,12.699999809265137,12.569999694824219,12.609999656677246,6.870378017425537,268800,WYNN
2002-11-04,12.65999984741211,12.949999809265137,12.649999618530273,12.90999984741211,7.0338311195373535,1307600,WYNN
2002-11-05,12.90999984741211,13.239999771118164,12.890000343322754,13.020000457763672,7.09376335144043,2384700,WYNN
2002-11-06,13.029999732971191,13.199999809265137,13.0,13.0,7.0828657150268555,204300,WYNN
2002-11-07,13.079999923706055,13.15999984741211,12.359999656677246,13.050000190734863,7.110105037689209,724200,WYNN
2002-11-08,13.020000457763672,13.029999732971191,12.829999923706055,12.930000305175781,7.04472541809082,106400,WYNN
2002-11-11,13.0,13.0,12.649999618530273,12.710000038146973,6.924866676330566,110500,WYNN
2002-11-12,12.729999542236328,12.739999771118164,11.859999656677246,11.960000038146973,6.516237258911133,540700,WYNN
2002-11-13,12.050000190734863,12.09000015258789,10.760000228881836,11.100000381469727,6.047677516937256,685600,WYNN
2002-11-14,11.130000114440918,11.25,10.880000114440918,11.09000015258789,6.042229652404785,462800,WYNN
2002-11-15,11.100000381469727,11.5600004196167,11.079999923706055,11.550000190734863,6.292852401733398,460700,WYNN
2002-11-18,11.579999923706055,13.050000190734863,11.569999694824219,12.180000305175781,6.636102199554443,325400,WYNN
2002-11-19,12.359999656677246,12.800000190734863,12.020000457763672,12.600000381469727,6.864929676055908,211400,WYNN
2002-11-20,12.5600004196167,12.600000381469727,12.229999542236328,12.40999984741211,6.761410236358643,92700,WYNN
2002-11-21,12.539999961853027,12.850000381469727,12.539999961853027,12.850000381469727,7.001140594482422,91300,WYNN
2002-11-22,12.850000381469727,12.859999656677246,12.5,12.649999618530273,6.8921709060668945,55300,WYNN
2002-11-25,12.800000190734863,13.0,12.65999984741211,12.930000305175781,7.04472541809082,111000,WYNN
2002-11-26,12.9399995803833,12.9399995803833,12.739999771118164,12.739999771118164,6.941205978393555,59300,WYNN
2002-11-27,12.899999618530273,12.899999618530273,12.5,12.5,6.810446739196777,94300,WYNN
2002-11-29,12.779999732971191,12.890000343322754,12.600000381469727,12.819999694824219,6.984793663024902,35400,WYNN
2002-12-02,12.9399995803833,12.949999809265137,12.350000381469727,12.40999984741211,6.761410236358643,93600,WYNN
2002-12-03,12.5,12.5,12.3100004196167,12.369999885559082,6.739620208740234,31100,WYNN
2002-12-04,12.449999809265137,12.600000381469727,12.3100004196167,12.600000381469727,6.864929676055908,42300,WYNN
2002-12-05,12.850000381469727,13.300000190734863,12.760000228881836,13.279999732971191,7.235417366027832,366100,WYNN
2002-12-06,13.149999618530273,13.380000114440918,12.989999771118164,13.180000305175781,7.180936336517334,129300,WYNN
2002-12-09,13.289999961853027,13.300000190734863,12.869999885559082,13.0,7.0828657150268555,106900,WYNN
2002-12-10,13.0,13.1899995803833,12.930000305175781,13.0,7.0828657150268555,48300,WYNN
2002-12-11,13.100000381469727,13.390000343322754,13.020000457763672,13.25,7.219074249267578,189700,WYNN
2002-12-12,13.390000343322754,13.800000190734863,13.270000457763672,13.739999771118164,7.486043930053711,361400,WYNN
2002-12-13,13.720000267028809,14.390000343322754,13.529999732971191,13.600000381469727,7.409764289855957,615500,WYNN
2002-12-16,13.739999771118164,14.069999694824219,13.65999984741211,13.680000305175781,7.453351974487305,170900,WYNN
2002-12-17,13.90999984741211,13.90999984741211,13.3100004196167,13.479999542236328,7.344386100769043,95100,WYNN
2002-12-18,13.5,13.59000015258789,13.0600004196167,13.319999694824219,7.257211685180664,110800,WYNN
2002-12-19,13.5,13.5,12.5,12.75,6.946657180786133,233700,WYNN
2002-12-20,12.789999961853027,13.399999618530273,12.6899995803833,13.079999923706055,7.1264519691467285,134900,WYNN
2002-12-23,13.09000015258789,13.59000015258789,13.010000228881836,13.449999809265137,7.328040599822998,65300,WYNN
2002-12-24,13.600000381469727,13.90999984741211,13.319999694824219,13.510000228881836,7.3607306480407715,52300,WYNN
2002-12-26,13.65999984741211,13.65999984741211,12.960000038146973,13.25,7.219074249267578,16300,WYNN
2002-12-27,13.289999961853027,13.289999961853027,12.949999809265137,13.0,7.0828657150268555,42500,WYNN
