Monday PE Ratio Historical Data,Monday PE Ratio Historical Data,Monday PE Ratio Historical Data,Monday PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,285.86,,697.22
2024-06-30,240.76,$0.41,587.22
2024-03-31,225.87,$-0.17,0.0
2023-09-30,159.22,$-0.34,0.0
2023-06-30,171.22,$-1.00,0.0
2023-03-31,142.75,$-1.86,0.0
2022-12-31,122.0,$-3.03,0.0
2022-09-30,113.34,$-3.73,0.0
2022-06-30,103.16,$-4.89,0.0
2022-03-31,158.07,$-4.53,0.0
2021-12-31,308.72,$-2.81,0.0
