Howmet Aerospace PE Ratio Historical Data,Howmet Aerospace PE Ratio Historical Data,Howmet Aerospace PE Ratio Historical Data,Howmet Aerospace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,96.66,,42.77
2024-06-30,77.63,$2.26,34.35
2024-03-31,68.43,$2.07,33.06
2023-12-31,54.12,$1.83,29.57
2023-09-30,46.25,$1.52,30.43
2023-06-30,49.56,$1.26,39.33
2023-03-31,42.37,$1.15,36.84
2022-12-31,39.41,$1.11,35.5
2022-09-30,30.93,$1.03,30.03
2022-06-30,31.43,$0.90,34.93
2022-03-31,35.9,$0.72,49.86
2021-12-31,31.78,$0.59,53.86
2021-09-30,31.13,$0.65,47.89
2021-06-30,34.37,$0.67,51.29
2021-03-31,32.03,$0.28,114.41
