Gatos Silver PE Ratio Historical Data,Gatos Silver PE Ratio Historical Data,Gatos Silver PE Ratio Historical Data,Gatos Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.99,,39.98
2024-06-30,10.44,$0.40,26.1
2024-03-31,8.39,$0.22,38.14
2023-12-31,6.54,$0.19,34.42
2023-09-30,5.18,$-0.04,0.0
2023-06-30,3.78,$-0.06,0.0
2023-03-31,6.53,$-0.05,0.0
2022-12-31,4.09,$0.21,19.48
2022-09-30,2.68,$-0.37,0.0
2022-06-30,2.87,$-0.62,0.0
2022-03-31,4.32,$-0.35,0.0
2021-12-31,10.38,$-0.65,0.0
2021-09-30,11.63,$-0.02,0.0
