Bitdeer Technologies Group PE Ratio Historical Data,Bitdeer Technologies Group PE Ratio Historical Data,Bitdeer Technologies Group PE Ratio Historical Data,Bitdeer Technologies Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.07,,0.0
2024-06-30,10.26,$-0.53,0.0
2024-03-31,7.02,$-0.39,0.0
2023-12-31,9.86,$-0.47,0.0
2023-06-30,11.2,$-0.50,0.0
2023-03-31,10.85,$-0.24,0.0
2022-12-31,10.42,$-0.52,0.0
2022-09-30,10.27,$-0.45,0.0
2022-06-30,10.11,$-0.38,0.0
2022-03-31,10.06,$-0.30,0.0
