ScanSource Quarterly Net Income (Millions of US $),ScanSource Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$13
2023-12-31,$33
2023-09-30,$15
2023-06-30,$19
2023-03-31,$21
2022-12-31,$26
2022-09-30,$24
2022-06-30,$20
2022-03-31,$24
2021-12-31,$23
2021-09-30,$22
2021-06-30,$24
2021-03-31,$13
2020-12-31,$-14
2020-09-30,$-12
2020-06-30,$-217
2020-03-31,$2
2019-12-31,$11
2019-09-30,$12
2019-06-30,$12
2019-03-31,$12
2018-12-31,$20
2018-09-30,$14
2018-06-30,$10
2018-03-31,$11
2017-12-31,$8
2017-09-30,$4
2017-06-30,$19
2017-03-31,$12
2016-12-31,$23
2016-09-30,$15
2016-06-30,$13
2016-03-31,$14
2015-12-31,$21
2015-09-30,$16
2015-06-30,$16
2015-03-31,$13
2014-12-31,$17
2014-09-30,$19
2014-06-30,$27
2014-03-31,$17
2013-12-31,$18
2013-09-30,$19
2013-06-30,$-13
2013-03-31,$14
2012-12-31,$16
2012-09-30,$18
2012-06-30,$20
2012-03-31,$15
2011-12-31,$21
2011-09-30,$18
2011-06-30,$20
2011-03-31,$17
2010-12-31,$22
2010-09-30,$16
2010-06-30,$14
2010-03-31,$12
2009-12-31,$12
2009-09-30,$11
2009-06-30,$13
2009-03-31,$9
