Winmark Quarterly Net Income (Millions of US $),Winmark Quarterly Net Income (Millions of US $).1
2024-09-30,$11
2024-06-30,$10
2024-03-31,$9
2023-12-31,$10
2023-09-30,$11
2023-06-30,$10
2023-03-31,$9
2022-12-31,$10
2022-09-30,$10
2022-06-30,$9
2022-03-31,$10
2021-12-31,$12
2021-09-30,$10
2021-06-30,$9
2021-03-31,$9
2020-12-31,$8
2020-09-30,$9
2020-06-30,$5
2020-03-31,$7
2019-12-31,$8
2019-09-30,$9
2019-06-30,$7
2019-03-31,$7
2018-12-31,$8
2018-09-30,$8
2018-06-30,$7
2018-03-31,$7
2017-12-31,$8
2017-09-30,$6
2017-06-30,$6
2017-03-31,$6
2016-12-31,$6
2016-09-30,$6
2016-06-30,$5
2016-03-31,$5
2015-12-31,$6
2015-09-30,$5
2015-06-30,$5
2015-03-31,$6
2014-12-31,$6
2014-09-30,$6
2014-06-30,$4
2014-03-31,$5
2013-12-31,$5
2013-09-30,$5
2013-06-30,$4
2013-03-31,$4
2012-12-31,$2
2012-09-30,$4
2012-06-30,$3
2012-03-31,$4
2011-12-31,$4
2011-09-30,$3
2011-06-30,$3
2011-03-31,$3
2010-12-31,$3
2010-09-30,$3
2010-06-30,$2
2010-03-31,$2
2009-12-31,$1
2009-09-30,$2
2009-06-30,$1
2009-03-31,$1
