Weis Markets Quarterly Net Income (Millions of US $),Weis Markets Quarterly Net Income (Millions of US $).1
2024-06-30,$26
2024-03-31,$23
2023-12-31,$21
2023-09-30,$23
2023-06-30,$34
2023-03-31,$26
2022-12-31,$29
2022-09-30,$29
2022-06-30,$36
2022-03-31,$31
2021-12-31,$23
2021-09-30,$29
2021-06-30,$33
2021-03-31,$24
2020-12-31,$19
2020-09-30,$31
2020-06-30,$41
2020-03-31,$27
2019-12-31,$19
2019-09-30,$14
2019-06-30,$20
2019-03-31,$14
2018-12-31,$13
2018-09-30,$14
2018-06-30,$19
2018-03-31,$16
2017-12-31,$64
2017-09-30,$4
2017-06-30,$18
2017-03-31,$12
2016-12-31,$41
2016-09-30,$11
2016-06-30,$15
2016-03-31,$20
2015-12-31,$17
2015-09-30,$13
2015-06-30,$17
2015-03-31,$13
2014-12-31,$13
2014-09-30,$14
2014-06-30,$13
2014-03-31,$15
2013-12-31,$17
2013-09-30,$12
2013-06-30,$24
2013-03-31,$20
2012-12-31,$22
2012-09-30,$17
2012-06-30,$23
2012-03-31,$20
2011-12-31,$19
2011-09-30,$17
2011-06-30,$21
2011-03-31,$19
2010-12-31,$14
2010-09-30,$16
2010-06-30,$21
2010-03-31,$17
2009-12-31,$16
2009-09-30,$16
2009-06-30,$15
2009-03-31,$17
