Intercontinental Hotels Group Quarterly Net Income (Millions of US $),Intercontinental Hotels Group Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,
2023-06-30,
2022-12-31,
2022-06-30,
2021-12-31,
2021-06-30,
2020-12-31,
2020-06-30,
2019-12-31,
2019-06-30,
2018-12-31,
2018-06-30,
2017-12-31,
2017-06-30,
2016-12-31,
2015-12-31,
2015-06-30,
2014-12-31,
2014-06-30,
2013-12-31,
2013-06-30,
2012-12-31,$95
2012-09-30,$174
2012-06-30,$121
2012-03-31,$154
2011-12-31,$126
2011-09-30,$178
2011-06-30,$87
2011-03-31,$69
2010-12-31,$49
2010-09-30,$103
2010-06-30,$87
2010-03-31,$50
2009-12-31,$175
2009-09-30,$68
2009-06-30,$-56
2009-03-31,$27
