CTS Quarterly Net Income (Millions of US $),CTS Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$11
2023-12-31,$15
2023-09-30,$14
2023-06-30,$13
2023-03-31,$18
2022-12-31,$15
2022-09-30,$12
2022-06-30,$13
2022-03-31,$20
2021-12-31,$9
2021-09-30,$-64
2021-06-30,$1
2021-03-31,$12
2020-12-31,$15
2020-09-30,$11
2020-06-30,$5
2020-03-31,$4
2019-12-31,$10
2019-09-30,$3
2019-06-30,$12
2019-03-31,$11
2018-12-31,$18
2018-09-30,$10
2018-06-30,$7
2018-03-31,$12
2017-12-31,$-14
2017-09-30,$10
2017-06-30,$10
2017-03-31,$8
2016-12-31,$8
2016-09-30,$4
2016-06-30,$14
2016-03-31,$8
2015-12-31,$-14
2015-09-30,$-5
2015-06-30,$19
2015-03-31,$6
2014-12-31,$7
2014-09-30,$8
2014-06-30,$6
2014-03-31,$5
2013-12-31,$-3
2013-09-30,$7
2013-06-30,$-11
2013-03-31,$4
2012-12-31,$9
2012-09-30,$6
2012-06-30,$3
2012-03-31,$2
2011-12-31,$6
2011-09-30,$6
2011-06-30,$4
2011-03-31,$5
2010-12-31,$5
2010-09-30,$7
2010-06-30,$6
2010-03-31,$4
2009-12-31,$4
2009-09-30,$4
2009-06-30,$-7
2009-03-31,$-36
