Envestnet Quarterly Net Income (Millions of US $),Envestnet Quarterly Net Income (Millions of US $).1
2024-06-30,$-79
2024-03-31,$3
2023-12-31,$-183
2023-09-30,$7
2023-06-30,$-21
2023-03-31,$-41
2022-12-31,$-37
2022-09-30,$-7
2022-06-30,$-23
2022-03-31,$-14
2021-12-31,$-5
2021-09-30,$12
2021-06-30,$-8
2021-03-31,$15
2020-12-31,$7
2020-09-30,$2
2020-06-30,$-5
2020-03-31,$-7
2019-12-31,$4
2019-09-30,$-3
2019-06-30,$1
2019-03-31,$-18
2018-12-31,$0
2018-09-30,$3
2018-06-30,$-6
2018-03-31,$8
2017-12-31,$18
2017-09-30,$-1
2017-06-30,$-6
2017-03-31,$-13
2016-12-31,$-33
2016-09-30,$-4
2016-06-30,$-8
2016-03-31,$-11
2015-12-31,$-4
2015-09-30,$3
2015-06-30,$3
2015-03-31,$3
2014-12-31,$4
2014-09-30,$4
2014-06-30,$4
2014-03-31,$3
2013-12-31,$1
2013-09-30,$1
2013-06-30,$1
2013-03-31,$1
2012-12-31,$-0
2012-09-30,$1
2012-06-30,$-1
2012-03-31,$1
2011-12-31,$2
2011-09-30,$2
2011-06-30,$2
2011-03-31,$1
2010-12-31,$1
2010-09-30,$0
2010-06-30,$0
2010-03-31,$-3
2009-12-31,
2009-09-30,$0
2009-06-30,$0
