Navigator Holdings Quarterly Net Income (Millions of US $),Navigator Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$23
2023-12-31,$18
2023-09-30,$19
2023-06-30,$27
2023-03-31,$19
2022-12-31,$10
2022-09-30,$2
2022-06-30,$14
2022-03-31,$27
2021-12-31,$-41
2021-09-30,$7
2021-06-30,$0
2021-03-31,$3
2020-12-31,$3
2020-09-30,$1
2020-06-30,$3
2020-03-31,$-8
2019-12-31,$-3
2019-09-30,$-3
2019-06-30,$-8
2019-03-31,$-3
2018-12-31,$-4
2018-09-30,$1
2018-06-30,$-3
2018-03-31,$1
2017-12-31,$1
2017-09-30,$-1
2017-06-30,$2
2017-03-31,$3
2016-12-31,$8
2016-09-30,$6
2016-06-30,$11
2016-03-31,$19
2015-12-31,$24
2015-09-30,$24
2015-06-30,$27
2015-03-31,$23
2014-12-31,$24
2014-09-30,$24
2014-06-30,$20
2014-03-31,$17
2013-12-31,$11
2013-09-30,$11
2013-06-30,$11
2013-03-31,$8
2012-12-31,$9
2012-09-30,$8
2012-06-30,$7
2012-03-31,$6
2011-12-31,$5
